"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000272398",67027.6500234856,-7.43536091470718,1.98596052920169,-3.7439620805032,0.000181141002640326,0.0150177126217864
"ENSG00000135439",13271.7000483861,-5.31921673826127,1.88143454317649,-2.82721328655987,0.00469550420895782,0.0488759301750609
"ENSG00000130348",9084.00795570396,-5.63529552750912,1.63627042611974,-3.44398788705893,0.000573201381654147,0.0163684499508487
"ENSG00000198719",22726.0677372935,-7.2444566857225,2.06773250454258,-3.50357537534822,0.000459056717696527,0.0150177126217864
"ENSG00000164494",6432.12712364124,-5.65234470262998,1.5846098767146,-3.5670260457729,0.000361055605863682,0.0150177126217864
"ENSG00000130349",3983.54394103375,-5.1723897409772,1.59654796622729,-3.23973338126495,0.00119641512879967,0.024907187681375
"ENSG00000146426",2097.92793667872,-4.97914681123284,1.75582573229664,-2.83578644488827,0.00457130014753513,0.0488759301750609
"ENSG00000130347",2104.56328393433,-5.02441426261979,1.57275782921602,-3.19465220219208,0.00139999442964296,0.0267165603656865
"ENSG00000253305",789.442023920945,-5.48319440158329,1.77928455506691,-3.08168493115318,0.00205832575678024,0.0294597873939172
"ENSG00000153993",181.346609420622,-5.17515641576927,1.65686033315649,-3.12347173277428,0.00178731032428456,0.0280485895790746
"ENSG00000237125",140.250826407814,-5.99867391910329,1.92551930334908,-3.11535382100284,0.00183724385889135,0.0280485895790746
"ENSG00000143869",108.724211280534,-5.21005533158726,1.76796094011114,-2.94692898094215,0.00320946905248464,0.0432048970322337
"ENSG00000234354",133.546882782246,-5.93462023906474,1.81019228319627,-3.27844743022875,0.00104379804086485,0.0239029751358051
"ENSG00000287893",90.1956193387948,-6.2660383283459,1.83611106639026,-3.41266846164419,0.000643301526452567,0.0163684499508487
"ENSG00000229654",138.466926603689,-7.89006257193651,2.24513049951502,-3.51430020377027,0.000440914214952249,0.0150177126217864
"ENSG00000185275",136.257392193088,-7.40826333256556,2.02367894943706,-3.66078983755125,0.000251438942829276,0.0150177126217864
"ENSG00000235142",93.0452078732898,-10.316983069326,2.66396561002238,-3.87279138683752,0.000107595919412436,0.0150177126217864
"ENSG00000233941",56.4191263726453,-11.281944079712,3.17749458512489,-3.5505785383639,0.00038438542817103,0.0150177126217864
